1F300 ; [.1183.0020.0002] # CYCLONE
1F301 ; [.1184.0020.0002] # FOGGY
1F302 ; [.1185.0020.0002] # CLOSED UMBRELLA
1F303 ; [.1186.0020.0002] # NIGHT WITH STARS
1F304 ; [.1187.0020.0002] # SUNRISE OVER MOUNTAINS
1F305 ; [.1188.0020.0002] # SUNRISE
1F306 ; [.1189.0020.0002] # CITYSCAPE AT DUSK
1F307 ; [.118A.0020.0002] # SUNSET OVER BUILDINGS
1F308 ; [.118B.0020.0002] # RAINBOW
1F309 ; [.118C.0020.0002] # BRIDGE AT NIGHT
1F30A ; [.118D.0020.0002] # WATER WAVE
1F30B ; [.118E.0020.0002] # VOLCANO
1F30C ; [.118F.0020.0002] # MILKY WAY
1F30D ; [.1190.0020.0002] # EARTH GLOBE EUROPE-AFRICA
1F30E ; [.1191.0020.0002] # EARTH GLOBE AMERICAS
1F30F ; [.1192.0020.0002] # EARTH GLOBE ASIA-AUSTRALIA
1F310 ; [.1193.0020.0002] # GLOBE WITH MERIDIANS
1F311 ; [.1194.0020.0002] # NEW MOON SYMBOL
1F312 ; [.1195.0020.0002] # WAXING CRESCENT MOON SYMBOL
1F313 ; [.1196.0020.0002] # FIRST QUARTER MOON SYMBOL
1F314 ; [.1197.0020.0002] # WAXING GIBBOUS MOON SYMBOL
1F315 ; [.1198.0020.0002] # FULL MOON SYMBOL
1F316 ; [.1199.0020.0002] # WANING GIBBOUS MOON SYMBOL
1F317 ; [.119A.0020.0002] # LAST QUARTER MOON SYMBOL
1F318 ; [.119B.0020.0002] # WANING CRESCENT MOON SYMBOL
1F319 ; [.119C.0020.0002] # CRESCENT MOON
1F31A ; [.119D.0020.0002] # NEW MOON WITH FACE
1F31B ; [.119E.0020.0002] # FIRST QUARTER MOON WITH FACE
1F31C ; [.119F.0020.0002] # LAST QUARTER MOON WITH FACE
1F31D ; [.11A0.0020.0002] # FULL MOON WITH FACE
1F31E ; [.11A1.0020.0002] # SUN WITH FACE
1F31F ; [.11A2.0020.0002] # GLOWING STAR
1F320 ; [.11A3.0020.0002] # SHOOTING STAR
1F321 ; [.11A4.0020.0002] # THERMOMETER
1F322 ; [.11A5.0020.0002] # BLACK DROPLET
1F323 ; [.11A6.0020.0002] # WHITE SUN
1F324 ; [.11A7.0020.0002] # WHITE SUN WITH SMALL CLOUD
1F325 ; [.11A8.0020.0002] # WHITE SUN BEHIND CLOUD
1F326 ; [.11A9.0020.0002] # WHITE SUN BEHIND CLOUD WITH RAIN
1F327 ; [.11AA.0020.0002] # CLOUD WITH RAIN
1F328 ; [.11AB.0020.0002] # CLOUD WITH SNOW
1F329 ; [.11AC.0020.0002] # CLOUD WITH LIGHTNING
1F32A ; [.11AD.0020.0002] # CLOUD WITH TORNADO
1F32B ; [.11AE.0020.0002] # FOG
1F32C ; [.11AF.0020.0002] # WIND BLOWING FACE
1F32D ; [.11B0.0020.0002] # HOT DOG
1F32E ; [.11B1.0020.0002] # TACO
1F32F ; [.11B2.0020.0002] # BURRITO
1F330 ; [.11B3.0020.0002] # CHESTNUT
1F331 ; [.11B4.0020.0002] # SEEDLING
1F332 ; [.11B5.0020.0002] # EVERGREEN TREE
